"","TGT.Close","HD.Close","JPM.Close","XOM.Close","CVX.Close","MGM.Close","TEVA.Close","HST.Close","WFC.Close","WWE.Close","WM.Close","S.Close","F.Close","JWN.Close","NUS.Close","KSS.Close","LUV.Close","HMC.Close","PCG.Close","NKE.Close","WMT.Close","TJX.Close","TM.Close","T.Close","JNJ.Close","C.Close","EPD.Close","VZ.Close","HRB.Close","AAP.Close","SIG.Close","M.Close"
"1",57.18,41.07,48.07,74.110001,70.970001,57.57,31.26,24.043074,35.740002,16.18,37.029999,19.040001,7.51,51.389999,18.540001,67.080002,15.52,39.709999,47.27,12.20875,47.549999,7.1675,135.300003,34.950001,66.400002,552.5,14.485,35.306732,23.200001,35.580002,47.740002,37.509998
"2",57.59,40.57,48.189999,72.720001,70.279999,57.099998,31.639999,23.984337,35.799999,16.290001,36.57,19.65,7.7,52.259998,18.51,67.68,15.76,40.040001,46.619999,12.33375,47.779999,7.43,137.770004,34.5,67.230003,550.599976,14.4,35.502777,23.280001,35.810001,47.700001,37.310001
"3",57.27,39.790001,47.790001,73.239998,70.550003,56.900002,32.209999,23.465492,35.599998,16.09,35.98,19.209999,7.62,51.279999,18.02,66.800003,15.5,38.669998,45.490002,12.35375,47.389999,7.27,133.720001,33.959999,66.620003,547.700012,14.255,34.895969,22.950001,35.02,47.98,36.889999
"4",57.349998,39.490002,47.950001,72.650002,71.449997,59.799999,32.880001,23.387177,35.5,16.190001,36.07,19.639999,7.73,51.549999,18.139999,66.25,15.78,38.889999,45.93,12.31625,47,7.2225,133.970001,33.810001,66.510002,550.5,14.425,34.36385,23.27,35.139999,48.200001,37.599998
"5",58.259998,39.32,47.75,72.089996,70.629997,61.040001,32.82,23.671072,35.59,16.08,35.689999,17.450001,7.79,52.110001,18.33,66.650002,15.81,38.91,46.150002,12.47,47.389999,7.3175,132.160004,33.939999,66.260002,545.700012,14.29,34.50388,23.48,35.439999,48.279999,38.849998
"6",58.310001,39.779999,48.099998,70.989998,69.410004,63.610001,32.889999,23.72002,35.48,15.99,36.68,17.85,7.73,52.360001,18.08,67.620003,16.049999,37.939999,46.77,12.47,47.279999,7.3725,129.429993,34.029999,66.150002,541.299988,14.27,34.307838,23.969999,35.490002,47.439999,38.82
"7",59.810001,40.080002,48.310001,70.980003,68.690002,68.550003,32.630001,24.33676,35.540001,16.360001,37.040001,17.440001,7.77,53.529999,18.23,68.080002,16.15,38,46.900002,12.4975,47.599998,7.485,128.779999,34.490002,66.730003,541.700012,14.23,34.643913,24.43,36.400002,47.5,39.330002
"8",60.310001,40.110001,47.990002,72.660004,70.349998,67.75,32.73,24.405287,35.509998,16.450001,36.900002,17.25,7.89,54.810001,18.24,68.25,16.219999,38.5,46.18,12.47,47.98,7.485,130.889999,34.73,66.639999,543.799988,14.255,34.849293,24.629999,36.200001,48.040001,39.240002
"9",60.84,40.290001,48.389999,71.629997,69.669998,69.129997,32.900002,24.52276,36.23,16.33,36.93,17.15,7.94,54.959999,18.15,67.940002,16.57,38.740002,46.169998,12.49625,48.310001,7.4625,131.210007,34.630001,66.540001,547.700012,14.405,34.69059,24.68,36.200001,47.52,39.130001
"10",60.360001,40.290001,48.43,72.459999,70.82,68.190002,32.880001,24.659815,36.27,16.34,36.959999,17,8.04,54.599998,17.950001,67.980003,15.9,38.41,46.259998,12.4775,48.200001,7.4075,131.100006,34.490002,66.870003,543.900024,14.6,34.429199,24.700001,36.349998,47.799999,38.91
"11",61.509998,40.869999,48.150002,71.959999,70.919998,67.900002,33.93,24.395496,36.200001,16.139999,36.849998,17.209999,8.18,55.529999,17.690001,69.830002,15.84,39.299999,46.169998,12.45875,48.389999,7.375,132.080002,35.02,67.709999,543.900024,14.505,35.073345,24.719999,36.98,47.82,39.43
"12",62.349998,40.549999,48.759998,73.529999,72.32,67.260002,34.169998,24.640236,36.040001,16.389999,36.91,17.23,8.3,55.029999,18,69.529999,15.91,39.889999,46.040001,12.4925,48.310001,7.5075,132.330002,35.07,67.760002,545,14.565,34.774609,24.540001,37.299999,48.040001,40.220001
