"","FTR.Close","UBSI.Close","INO.Close","GRPN.Close","FFIN.Close","GOOG.Close","ONCY.Close","ARWR.Close","COST.Close","AAL.Close","CSSEP.Close","MSFT.Close","DLTR.Close","KGJI.Close","AMZN.Close","ROST.Close","TMUS.Close","PBYI.Close","NFLX.Close","HOFT.Close","SDC.Close","RRGB.Close","JBLU.Close"
"40",0.78,40.099998,2.51,2.92,34.220001,1291.800049,1.22,39.220001,301.570007,30.959999,25.441,144.059998,112.790001,1.97,1795.77002,112.260002,81.860001,7.13,288.589996,24.040001,11.99,27.98,19.66
"41",0.81,40.259998,2.58,2.91,34.77,1308.859985,1.1,39.599998,305.209991,30.889999,25.450001,144.259995,112.470001,2.13,1788.199951,113.07,81.860001,7.52,289.570007,23.889999,11.99,26.92,19.58
"42",0.81,40.59,2.52,2.94,34.84,1311.369995,1.06,42.099998,302.619995,30.76,25.42,145.960007,110.349998,1.99,1785.880005,111.82,80.940002,8.88,291.570007,24.1,11.59,26.68,19.57
"43",0.8,40.09,2.45,2.94,34.759998,1299.189941,1.01,42.939999,300.839996,30.59,25.4,146.110001,108.93,1.82,1771.650024,112.18,79.620003,8.52,294.179993,24.27,11.85,26.6,19.76
"44",0.75,40.150002,2.44,2.92,35.130001,1298.800049,1.02,45.275002,300.5,29.52,25.4,147.070007,107.690002,1.54,1778,110.970001,77.43,8.45,292.01001,24.139999,11.08,26.24,19.299999
"45",0.78,39.709999,2.31,2.93,34.639999,1298,1.05,48.509998,302.899994,28.66,25.5,147.309998,108.400002,1.38,1753.109985,111.389999,77.970001,8.79,283.109985,23.76,8.83,26,19.58
"46",0.74,39.669998,2.2,2.94,34.52,1311.459961,1.02,48.5,304.589996,28.77,25.653999,148.059998,108.75,1.53,1754.599976,112.839996,76.839996,8,289.619995,23.67,8.89,26.219999,19.57
"47",0.74,39.509998,2.35,3,34.419998,1334.869995,0.94,47.439999,303.660004,28.860001,25.771999,149.970001,108.849998,1.48,1739.48999,113.370003,78.07,7.96,295.029999,23.92,8.6,26.09,19.620001
"48",0.69,37.98,2.28,2.85,34.099998,1320.699951,0.9,48.169998,304.540009,28.6,25.348,150.339996,109.059998,1.33,1752.530029,112.190002,78.190002,7.82,302.570007,23.75,8.04,26.450001,19.469999
"49",0.61,38.110001,2.37,2.84,34.470001,1315.459961,0.89,50.5,302.23999,29.290001,25.190001,150.389999,106.879997,1.37,1752.790039,112.419998,77.160004,8.4,302.600006,23.57,8.96,26.959999,19.360001
"50",0.58,37.77,2.45,2.84,34.18,1303.050049,1.01,48.349998,300.570007,28.23,25.176001,149.619995,107.260002,1.3,1745.530029,110.440002,77.639999,8.55,305.160004,23.620001,9,26.709999,19.02
"51",0.58,37.459999,2.5,2.72,34.18,1301.349976,1.1,49.060001,300.269989,27.93,25.129999,149.479996,108,1.31,1734.709961,111.790001,77.699997,8.91,311.690002,23.530001,8.99,26.68,18.629999
"52",0.67,37.889999,2.5,2.82,34.299999,1295.339966,1.04,49.200001,299.309998,28.68,25.164,149.589996,109.040001,1.44,1745.719971,111.519997,78.589996,9.16,310.480011,23.35,8.94,26.08,18.959999
"53",0.69,38.07,2.61,2.92,34.599998,1306.689941,1.1,56.990002,299.049988,28.99,25.25,151.229996,112.389999,1.7,1773.839966,113.330002,78,9.62,315.549988,24.27,9.37,27.389999,19.200001
"54",0.65,37.990002,2.52,2.87,34.529999,1313.550049,1.09,67.699997,301.23999,29.049999,25.313999,152.029999,95.260002,1.56,1796.939941,115.330002,78.449997,9.35,312.48999,24.139999,9.595,26.9,19.32
"55",0.65,37.959999,2.59,2.91,34.84,1312.98999,1.1,69.019997,300.76001,28.950001,25.16,152.320007,93.029999,1.55,1818.51001,116.330002,78.980003,9.18,315.929993,23.83,9.98,26.74,19.26
"56",0.67,37.869999,2.52,2.9,34.57,1304.959961,1.12,73.010002,299.809998,28.74,25.200001,151.380005,91.459999,1.58,1800.800049,116.150002,78.550003,9.49,314.660004,23.809999,9.97,27.27,19.27
"57",0.67,37.810001,2.51,2.8,34.360001,1289.920044,1.28,63.330002,297.390015,28.08,25.17,149.550003,89.470001,1.6,1781.599976,116,77.639999,10.73,309.98999,23.860001,9.86,27.309999,19.200001
"58",0.65,37.32,2.55,2.8,33.5,1295.280029,1.29,68.660004,295.670013,27.290001,25.235001,149.309998,88.650002,1.72,1769.959961,114.269997,78.010002,9.35,306.160004,23.75,9.3,27.379999,18.799999
"59",0.67,37.779999,2.47,2.9,34.18,1320.540039,1.25,66.459999,296.519989,27.379999,25.349001,149.850006,89.260002,1.78,1760.689941,114.150002,78.339996,8.95,304.320007,23.57,8.57,26.639999,19.32
"60",0.67,37.720001,2.33,2.94,34.490002,1328.130005,1.14,65.529999,293.100006,27.24,25.250999,149.929993,90.800003,2,1740.47998,113.489998,76.940002,7.44,302.859985,23.77,8.42,27.190001,19.139999
"61",0.69,37.970001,2.38,2.95,34.799999,1340.619995,1.14,67.269997,294.950012,27.73,25.292,151.75,92.239998,1.81,1751.599976,113.910004,77.739998,7.88,307.350006,23.719999,8.07,27.73,19.02
"62",0.7,37.720001,2.46,2.93,34.419998,1343.560059,1.12,67.769997,295.160004,27.49,25.343,151.360001,93.199997,1.93,1749.51001,115.059998,75.870003,7.69,302.5,24.049999,8.24,27.440001,18.93
"63",0.67,38.139999,2.57,2.96,34.830002,1344.660034,1.1,70.860001,295.779999,27,25.4,151.130005,91.550003,2,1739.209961,114.949997,75.019997,8.49,293.119995,23.889999,7.96,27.52,18.9
"64",0.65,37.950001,2.64,2.75,34.82,1345.02002,1.12,68.220001,295.299988,26.860001,25.459999,151.699997,91.5,1.99,1748.719971,114.849998,74.620003,8.69,298.929993,24.379999,8.12,27.18,18.73
"65",0.66,38.669998,2.71,2.72,35.330002,1350.27002,1.11,67.32,297.339996,27.719999,25.579,153.240005,92.550003,1.98,1760.329956,116.449997,74.889999,9.29,298.440002,24.870001,7.8,27.959999,18.92
"66",0.68,38.330002,2.72,2.61,35.200001,1347.829956,1.11,66.459999,291.869995,27.48,25.535,154.529999,93.589996,1.92,1760.939941,115.489998,75.470001,9.36,298.5,24.58,8,27.9,18.58
"67",0.66,38.610001,2.63,2.63,36.099998,1361.170044,1.34,65.379997,293.5,27.92,25.541,155.529999,94.220001,1.79,1769.209961,114.389999,75.470001,8.57,304.209991,25.17,7.95,28.950001,18.700001
"68",0.64,38.849998,2.63,2.39,36.27,1355.119995,1.8,65.849998,295.549988,28.280001,25.546,154.690002,92.040001,1.84,1790.660034,113.809998,75.489998,8.97,315.480011,25.360001,7.8,29.84,18.969999
"69",0.63,38.82,2.63,2.39,36.41,1352.619995,1.8,66.510002,291.869995,28,25.59,154.369995,91.830002,1.69,1784.030029,113.489998,76.309998,8.96,320.799988,25.66,7.81,29.1,18.790001
"70",0.64,38.91,3.44,2.28,36.029999,1356.040039,1.7,67.68,293.709991,28.549999,25.459999,155.710007,92.099998,1.47,1792.280029,115.160004,77.220001,8.66,332.220001,25.559999,8.55,30.09,18.889999
"71",0.63,38.830002,3.3,2.23,35.779999,1349.589966,1.61,63.490002,294.829987,29.040001,25.42,157.410004,94.059998,1.63,1786.5,115.230003,77.400002,8.26,336.899994,25.620001,8.1,30.18,19.209999
"72",0.67,38.34,3.72,2.26,35.450001,1348.839966,1.74,63.759998,293.309998,29.299999,25.549999,157.410004,92.440002,1.51,1793,114.199997,76.959999,9.5,333.100006,25.68,8.34,29.92,19.200001
"73",0.68,38.41,3.69,2.34,35.400002,1343.560059,1.83,64.559998,294.230011,29.18,25.596001,157.380005,93.230003,1.47,1789.209961,115.120003,77.32,9.14,333.200012,25.93,8.42,29.889999,19.120001
"74",0.72,38.540001,3.55,2.35,35.349998,1360.400024,2.82,66.989998,295.730011,29.67,25.67,158.669998,92.080002,1.54,1868.77002,115.309998,77.400002,8.85,332.630005,25.780001,8.33,30.23,19.1
"75",0.75,38.41,3.34,2.33,35.27,1351.890015,2.84,64.93,294.109985,28.440001,25.809999,158.960007,92.839996,1.45,1869.800049,114.959999,77.239998,8.66,329.089996,25.68,8.49,31.030001,18.889999
"76",0.97,38.619999,3.4,2.36,35.389999,1336.140015,3.87,64.199997,295.140015,28.299999,25.665001,157.589996,93.489998,1.49,1846.890015,116.5,78.080002,8.41,323.309998,25.639999,8.22,32.82,18.709999
"77",0.89,38.66,3.3,2.39,35.099998,1337.02002,4.76,63.43,293.920013,28.68,25.695,157.699997,94.050003,1.51,1847.839966,116.419998,78.419998,8.75,323.570007,25.690001,8.74,33.02,18.719999
