stockSymbol,stockName,dailyClose,volatility,avgVolume
CVNA,Carvana Co.,30.01,143.407,"2,576,076"
CVR,Chicago Rivet & M...,21.1,17.445,"1,044"
CVRS,Corindus Vascular...,4.27,0.679,"1,746,723"
CVS,CVS Caremark Corp...,55.38,29.465,"10,043,308"
CVTI,Covenant Transpor...,10.95,48.923,"198,918"
CVU,CPI Aerostructure...,1.43,125.206,"141,048"
CVV,CVD Equipment Cor...,2.6,72.253,"21,372"
CVX,Chevron Corporation,57.39,67.552,"11,345,644"
CW,Curtiss-Wright Co...,82.57,71.794,"277,274"
CWBC,Community West Ba...,6.36,68.446,"4,767"
CWBR,"CohBar, Inc.",1.04,65.583,"61,726"
CWCO,Consolidated Wate...,14.44,34.425,"65,923"
CWEN,"Clearway Energy, ...",18.41,32.138,"826,465"
CWEN.A,"Clearway Energy, ...",19.84,4.521,"210,061"
CWH,Camping World Hol...,3.89,154.001,"919,184"
CWK,Cushman & Wakefie...,10.39,78.794,"711,742"
CWST,Casella Waste Sys...,40.73,37.216,"371,349"
CWT,California Water ...,55.45,28.236,"305,479"
CX,"Cemex, S.A.B. de ...",1.86,84.705,"10,784,875"
CXDC,China XD Plastics...,0.93,63.43,"175,461"
CXE,MFS High Income M...,4.1,47.064,"124,212"
CXH,MFS Investment Gr...,7.8,35.507,"24,705"
CXO,Concho Resources ...,40.25,96.771,"2,744,392"
CXP,Columbia Property...,9.3,91.261,"874,121"
CXW,Corrections Corpo...,9.97,70.477,"1,254,345"
CYAD,Celyad SA,4.72,97.879,"20,878"
CYAN,Cyanotech Corpora...,1.91,32.612,"17,377"
CYBE,CyberOptics Corpo...,14.26,71.526,"63,691"
CYBR,CyberArk Software...,75.54,58.903,"873,661"
CYCC,Cyclacel Pharmace...,0.38,78.281,"203,665"
CYCCP,Cyclacel Pharmace...,5.55,21.143,555
CYCN,Cyclerion Therape...,2.54,91.92,"627,685"
CYD,China Yuchai Inte...,7.99,53.266,"45,171"
CYH,Community Health ...,3.04,117.545,"3,366,791"
CYRN,CYREN Ltd.,0.68,70.234,"25,653"
CYRX,"CryoPort, Inc.",15.62,30.269,"447,497"
CYTK,"Cytokinetics, Inc...",9,65.867,"919,950"
CZNC,Citizens & Northe...,19.45,51.06,"16,619"
CZWI,Citizens Communit...,6.44,67.833,"17,542"
CZZ,Cosan Limited,11.07,86.007,"1,163,261"
D,Dominion Resource...,71.85,29.248,"3,831,453"
DAC,Danaos Corporation,3.25,79.134,"141,904"
DAIO,Data I/O Corporation,2.69,53.536,"19,092"
DAKT,"Daktronics, Inc.",4.45,34.718,"178,218"
DAL,"Delta Air Lines, ...",21.51,85.36,"14,931,844"
DAN,Dana Holding Corp...,5.77,130.509,"1,938,143"
DAO,"Youdao, Inc.",16.57,57.071,"263,729"
DAR,Darling Internati...,14.49,76.786,"1,521,682"
DARE,"Dare Bioscience, ...",0.82,59.564,"2,112,959"
DAVA,Endava plc,30.77,72.595,"201,715"
DB,Deutsche Bank AG,5.86,81.058,"8,997,411"
DBD,"Diebold, Incorpor...",4.16,88.075,"1,612,043"
DBI,Designer Brands Inc.,5.87,127.593,"1,696,982"
DBVT,DBV Technologies ...,3.39,141.547,"686,874"
DBX,"Dropbox, Inc.",17.82,39.205,"6,094,817"
DCAR,"DropCar, Inc.",0.52,79.299,"146,781"
DCI,Donaldson Company...,37.91,37.018,"529,325"
DCIX,Diana Containersh...,0.45,56.931,"269,533"
DCO,Ducommun Incorpor...,19.29,113.071,"143,199"
DCOM,Dime Community Ba...,12.92,53.482,"141,899"
DCOMP,Dime Community Ba...,19,29.892,"42,956"
DCP,"DCP Midstream, LP",3.34,196.187,"1,759,254"
DCPH,Deciphera Pharmac...,38.44,64.346,"605,513"
DCUE,"Dominion Energy, ...",88.59,31.631,"120,946"
DD,DuPont de Nemours...,31.66,59.215,"8,266,232"
DDD,3D Systems Corpor...,6.64,81.612,"2,586,811"
DDMX,DD3 Acquisition C...,9.1,25.336,"25,072"
DDMXU,DD3 Acquisition C...,10.8,5.985,"13,249"
DDOG,"Datadog, Inc.",33.1,56.17,"3,517,603"
DDS,"Dillard's, Inc.",44.62,64.674,"384,188"
DDT,Dillard's Capital...,17.45,54.766,"25,875"
DE,Deere & Company,119.66,49.133,"1,994,969"
DEA,Easterly Governme...,22.01,25.991,"663,270"
DEAC,Diamond Eagle Acq...,11.4,62.464,"2,426,734"
DEACU,Diamond Eagle Acq...,12.15,69.75,"86,524"
DECK,Deckers Outdoor C...,103.76,75.93,"574,740"
DEI,"Douglas Emmett, Inc.",27.3,58.987,"1,414,529"
DELL,Dell Technologies...,31.96,61.074,"3,485,799"
DENN,Denny's Corporation,6,129.919,"589,198"
DEO,Diageo plc,111.58,45.403,"630,227"
DESP,"Despegar.com, Corp.",6.69,102.219,"430,110"
DEST,Destination Mater...,0.11,139.252,"1,460,361"
DEX,Delaware Enhanced...,6.08,65.591,"96,336"
DF,Dean Foods Company,0.8,50.454,"2,971,311"
DFBHU,DFB Healthcare Ac...,10.05,10.656,"31,586"
DFFN,Diffusion Pharmac...,0.28,62.903,"1,799,997"
DFIN,Donnelley Financi...,5.76,76.553,"287,540"
DFNSU,LGL Systems Acqui...,10.54,1.82,"111,514"
DFPHU,DFP Healthcare Ac...,9.65,0,"226,766"
DFS,Discover Financia...,28.33,100.676,"3,155,717"
DG,Dollar General Co...,143,21.377,"2,237,657"
DGICA,"Donegal Group, In...",12.4,25.387,"21,425"
DGICB,"Donegal Group, In...",11.61,16.67,838
DGII,Digi Internationa...,6.4,82.177,"298,786"
DGLY,"Digital Ally, Inc.",0.83,77.298,"842,447"
DGX,Quest Diagnostics...,79.31,46.909,"1,483,268"
DHC,Diversified Healt...,2.35,142.117,"1,802,080"
DHCNI,Diversified Healt...,10,105.283,"33,102"
DHCNL,Diversified Healt...,10.88,103.677,"27,814"
DHI,"D.R. Horton, Inc.",30.01,89.434,"4,895,985"
DHIL,Diamond Hill Inve...,91.8,57.178,"17,714"
DHR,Danaher Corporation,124.19,29.139,"3,072,074"
DHT,"DHT Holdings, Inc.",5.6,32.731,"4,478,646"
DHX,"Dice Holdings, Inc.",2.5,31.394,"141,337"
DHXM,DHX Media Ltd.,1.11,20.697,"89,943"
DIN,Dine Brands Global,17.76,161.497,"494,270"
DIOD,Diodes Incorporated,33.52,47.056,"420,966"
DIS,Walt Disney Compa...,94.93,49.315,"16,907,177"
DISCA,Discovery Communi...,21.22,40.905,"5,388,734"
DISCB,Discovery Communi...,29.5,49.517,368
DISCK,Discovery Communi...,18.89,48.343,"4,016,502"
DISH,DISH Network Corp...,21.87,96.946,"3,853,347"
DISHR,DISH Network Corp...,0.01,0,"2,037,528"
DISHV,DISH Network Corp...,2.67,0,"386,600"
DIT,AMCON Distributin...,68.49,10.941,200
DJCO,Daily Journal Cor...,247.99,43.578,"1,652"
DK,Delek US Holdings...,11.53,142.688,"2,359,861"
DKL,Delek Logistics P...,7.3,184.209,"87,656"
DKS,Dick's Sporting G...,18.61,96.444,"2,054,254"
DKT,Deutsch Bk Contin...,25,2.213,"194,040"
DL,China Distance Ed...,7.4,20.614,"82,196"
DLA,"Delta Apparel, Inc.",8.97,110.23,"22,410"
DLB,Dolby Laboratories,50.57,49.594,"461,956"
DLHC,DLH Holdings Corp.,3.11,57.947,"29,315"
DLNG,Dynagas LNG Partn...,1.15,74.799,"76,788"
DLPN,Dolphin Entertain...,0.39,79.925,"104,158"
DLR,Digital Realty Tr...,125.27,18.358,"3,731,393"
DLTH,Duluth Holdings Inc.,4.21,72.335,"341,366"
DLTR,"Dollar Tree, Inc.",70.87,38.483,"3,337,834"
DLX,Deluxe Corporation,22.13,65.405,"404,671"
DMAC,DiaMedica Therape...,2.8,81.69,"57,522"
DMF,Dreyfus Municipal...,6.82,42.996,"75,578"
DMLP,Dorchester Minera...,10.39,60.487,"128,258"
DMPI,DelMar Pharmaceut...,0.4,42.513,"211,184"
DMRC,Digimarc Corporation,12.25,128.928,"131,404"
DMTK,"DermTech, Inc.",10.01,53.805,"57,150"
DNBF,DNB Financial Corp,46.19,3.695,"26,209"
DNJR,Golden Bull Limited,0.4,50.279,"135,657"
DNK,Phoenix Tree Hold...,8.2,48.755,"55,215"
DNKN,Dunkin' Brands Gr...,43.62,61.41,"1,010,836"
DNLI,Denali Therapeuti...,17.82,54.583,"809,625"
DNN,Denison Mines Corp,0.22,75.033,"713,329"
DNOW,NOW Inc.,5.61,77.517,"1,075,241"
DNR,Denbury Resources...,0.27,172.68,"14,977,225"
DO,Diamond Offshore ...,2.9,96.612,"4,383,436"
DOC,Physicians Realty...,13.35,55.806,"2,508,255"
DOCU,"DocuSign, Inc.",75.88,30.819,"2,342,237"
DOGZ,Dogness (Internat...,1.02,13.116,"10,826"
DOMO,"Domo, Inc.",9.16,133.68,"486,802"
DOOO,BRP Inc.,16.67,117.097,"105,549"
DOOR,Masonite Internat...,42.07,76.649,"227,870"
DORM,"Dorman Products, ...",66.77,29.784,"205,419"
DOV,Dover Corporation,70.8,57.807,"1,070,016"
DOW,Dow Inc.,28.12,91.754,"6,827,429"
DOX,Amdocs Limited,46.28,47.721,"939,785"
DOYU,DouYu Internation...,8.04,15.533,"1,606,395"
DPHC,DiamondPeak Holdi...,9.6,7.778,"180,816"
DPHCU,DiamondPeak Holdi...,10.65,5.955,"25,442"
DPLO,Diplomat Pharmacy...,4,1.021,"2,143,073"
DPW,Digital Power Cor...,0.69,109.985,"536,762"
DPZ,Domino's Pizza Inc,323.14,28.374,"994,737"
DQ,Daqo New Energy C...,48.66,56.521,"301,072"
DRAD,Digirad Corporation,4.49,122.661,"321,938"
DRADP,Digirad Corporati...,6,12.273,"6,243"
DRD,DRDGOLD,5.01,67.644,"253,369"
DRE,Duke Realty Corpo...,28.23,41.841,"2,777,267"
DRH,Diamondrock Hospi...,3.44,136.659,"3,637,741"
DRI,Darden Restaurant...,42.42,124.523,"2,279,636"
DRIO,LabStyle Innovati...,3.5,92.814,"18,005"
DRNA,Dicerna Pharmaceu...,15.82,55.445,"689,560"
DRQ,"Dril-Quip, Inc.",29.44,37.851,"381,996"
DRRX,DURECT Corporation,1,85.388,"1,483,560"
DRTT,DIRTT Environment...,0.79,166.319,"127,460"
DRUA,Dominion Resource...,22.07,24.465,"66,972"
DS,Drive Shack Inc.,1.33,131.733,"582,243"
DSGX,The Descartes Sys...,30.33,50.554,"137,208"
DSKE,"Daseke, Inc.",1.16,130.481,"218,246"
DSPG,"DSP Group, Inc.",11,39.243,"202,623"
DSS,Document Security...,0.18,58.95,"5,073,540"
DSSI,Diamond S Shippin...,9.27,30.099,"547,964"
DSWL,Deswell Industrie...,2.35,14.374,"10,924"
DSX,Diana Shipping inc.,1.46,62.045,"374,307"
DT,"Dynatrace, Inc.",20.88,75.721,"2,653,924"
DTE,DTE Energy Company,85.41,60.883,"1,618,052"
DTEA,DAVIDsTEA Inc.,0.46,138.618,"103,917"
DTF,DTF Tax-Free Inco...,12.32,27.819,"13,111"
DTIL,Precision BioScie...,5.72,62.022,"616,111"
DTJ,DTE Energy Compan...,20.18,30.867,"23,007"
DTP,DTE Energy Compan...,34.61,59.134,"240,878"
DTQ,DTE Energy Compan...,20.77,26.268,"21,627"
DTSS,Datasea Inc.,1.49,57.038,"224,778"
DTW,DTE Energy Compan...,20.51,34.195,"24,684"
DTY,DTE Energy Compan...,22.03,25.294,"25,096"
DUC,Duff & Phelps Uti...,8.26,16.812,"105,954"
DUK,Duke Energy Corpo...,75.05,37.246,"4,103,950"
DUKB,Duke Energy Corpo...,24.51,20.838,"46,770"
DUKH,Duke Energy Corpo...,22.6,21.051,"41,100"
DUO,Fangdd Network Gr...,9.18,50.649,"5,249"
DUOT,Duos Technologies...,3.89,60.525,"24,508"
DVA,DaVita HealthCare...,71.34,21.609,"1,553,507"
DVAX,Dynavax Technolog...,3.36,84.904,"1,435,688"
DVD,Dover Motorsports...,1.26,41.103,"25,946"
DVN,Devon Energy Corp...,6.55,154.266,"9,025,815"
DWSN,Dawson Geophysica...,1.2,93.366,"42,625"
DX,"Dynex Capital, Inc.",11.08,77.101,"431,254"
DXB,Deutsche Bk Conti...,22.54,16.063,"161,399"
DXC,DXC Technology Co...,12.47,125.797,"4,792,413"
DXCM,"DexCom, Inc.",206.24,51.136,"1,113,669"
DXF,Dunxin Financial ...,0.67,40.19,"36,788"
DXLG,Destination XL Gr...,0.24,143.533,"130,591"
DXPE,"DXP Enterprises, ...",12.1,139.394,"78,133"
DXR,Daxor Corporation,10.65,56.041,"22,798"
DXYN,"The Dixie Group, ...",0.95,48.751,"42,415"
DY,"Dycom Industries,...",15,146.886,"744,686"
DYAI,Dyadic Internatio...,4.21,81.018,"275,206"
DYNT,Dynatronics Corpo...,1.03,135.575,"816,489"
DZSI,DASAN Zhone Solut...,4.36,115.848,"60,358"
E,ENI S.p.A.,15.06,90.13,"490,919"
EA,Electronic Arts Inc.,90.06,26.973,"3,326,909"
EAB,"Entergy Arkansas,...",21.28,25.661,"11,155"
EAE,"Entergy Arkansas,...",20.95,21.434,"13,226"
EAF,GrafTech Internat...,8.21,45.945,"2,918,492"
EAI,"Entergy Arkansas,...",20.45,25.843,"33,935"
EARN,Ellington Residen...,5.04,93.071,"65,340"
EARS,Auris Medical Hol...,0.78,100,"147,886"
EAST,Eastside Distilli...,1.25,121.123,"23,524"
EAT,Brinker Internati...,10.99,162.289,"1,557,244"
EB,"Eventbrite, Inc.",7.83,125.927,"1,107,885"
EBAY,eBay Inc.,29.6,25.791,"13,788,387"
EBAYL,eBay Inc. - 6.0% ...,23.5,16.257,"73,319"
EBF,"Ennis, Inc.",15.82,48.484,"171,034"
EBIX,"Ebix, Inc.",13.99,120.352,"515,553"
EBMT,Eagle Bancorp Mon...,12.55,62.906,"22,688"
EBR,Centrais Electric...,3.53,89.697,"682,636"
EBR.B,Centrais Electric...,3.84,89.695,"48,274"
EBS,Emergent Biosolut...,53.1,27.004,"449,822"
EBSB,Meridian Intersta...,10.91,61.262,"194,954"
EBTC,Enterprise Bancor...,26.89,30.424,"12,628"
EC,Ecopetrol S.A.,6.99,127.518,"1,028,021"
ECC,Eagle Point Credi...,6.86,86.926,"315,924"
ECCA,Eagle Point Credi...,25.15,0.271,"1,259"
ECCB,Eagle Point Credi...,18.3,45.199,"7,488"
ECCX,Eagle Point Credi...,21.91,40.065,"5,478"
ECCY,Eagle Point Credi...,21,43.672,"5,376"
ECHO,Echo Global Logis...,16.65,43.736,"243,993"
ECL,Ecolab Inc.,159.58,31.697,"1,479,541"
ECOL,"US Ecology, Inc.",28.78,76.845,"281,228"
ECOLW,"US Ecology, Inc. ...",4.1,84.116,"33,147"
ECOM,ChannelAdvisor Co...,5.61,88.969,"122,406"
ECOR,"electroCore, Inc. ",0.45,113.142,"197,550"
ECPG,Encore Capital Gr...,16.95,71.126,"425,249"
ECT,ECA Marcellus Tru...,0.31,87.222,"55,981"
ED,Consolidated Edis...,80.09,18.172,"2,521,921"
EDAP,EDAP TMS S.A.,2.12,108.892,"140,677"
EDIT,"Editas Medicine, ...",20,49.605,"941,505"
EDN,Empresa Distribui...,2.96,67.59,"62,529"
EDNT,"Edison Nation, Inc.",2.2,43.256,"26,220"
EDRY,EuroDry Ltd.,4.5,37.848,"1,513"
EDSA,"Edesa Biotech, Inc.",1.92,90.648,"52,230"
EDTX,EdtechX Holdings ...,10.1,3.433,"83,653"
EDTXU,EdtechX Holdings ...,11.19,5.361,"7,254"
EDU,New Oriental Educ...,110.42,26.682,"1,678,800"
EDUC,Educational Devel...,3.98,59.244,"15,168"
EEFT,Euronet Worldwide...,77.51,78.808,"761,025"
EEI,Ecology and Envir...,15.45,2.364,"5,078"
EEX,Emerald Expositio...,3.3,135.924,"168,559"
EFBI,Eagle Financial B...,15.66,6.464,"1,708"
EFC,Ellington Financi...,6.53,113.802,"845,601"
EFOI,"Energy Focus, Inc.",0.31,86.459,"350,381"
EFSC,Enterprise Financ...,27.99,68.059,"96,375"
EFT,Eaton Vance Float...,9.33,49.939,"231,935"
EFX,"Equifax, Inc.",115.41,33.638,"998,969"
EGAN,eGain Corporation,5.69,82.056,"163,369"
EGBN,"Eagle Bancorp, Inc.",27.42,73.834,"219,553"
EGHT,8x8 Inc,15.54,69.558,"1,671,249"
EGLE,Eagle Bulk Shippi...,1.94,85.637,"537,104"
EGO,Eldorado Gold Cor...,5.51,85.816,"3,881,805"
EGOV,NIC Inc.,19.01,25.676,"348,583"
EGP,EastGroup Propert...,101.01,54.858,"256,831"
EGRX,Eagle Pharmaceuti...,39.36,46.572,"183,872"
EGY,Vaalco Energy Inc,0.91,105.013,"239,062"
EH,EHang Holdings Li...,10.25,20.543,"23,517"
EHC,Encompass Health ...,53.9,54.22,"822,059"
EHTH,"eHealth, Inc.",103.54,43.142,"880,362"
EIC,Eagle Point Incom...,9.18,79.925,"8,081"
EIDX,Eidos Therapeutic...,43.82,39.175,"118,323"
EIG,Employers Holding...,35.5,30.806,"163,689"
EIGI,Endurance Interna...,1.55,128.3,"732,110"
EIGR,Eiger BioPharmace...,5.7,103.208,"379,326"
EIX,Edison International,48.76,62.143,"2,333,475"
EKSO,Ekso Bionics Hold...,0.22,86.365,"1,007,726"
EL,Estee Lauder Comp...,156.51,37.12,"2,460,745"
ELA,Envela Corporation,2.48,37.723,"210,307"
ELAN,Elanco Animal Hea...,17.47,65.869,"6,873,774"
ELAT,Elanco Animal Hea...,32.45,59.602,"183,804"
ELC,Entergy Louisiana...,21.31,24.487,"21,738"
ELF,"e.l.f. Beauty, Inc.",8.57,93.893,"952,844"
ELGX,"Endologix, Inc.",0.67,85.653,"445,614"
ELJ,Entergy Louisiana...,23.41,16.76,"21,065"
ELLO,Ellomay Capital Ltd,10.94,78.552,"5,383"
ELMD,"Electromed, Inc.",8,68.277,"97,475"
ELOX,Eloxx Pharmaceuti...,2.56,65.903,"166,993"
ELP,Companhia Paranae...,9.98,70.483,"731,231"
ELS,Equity Lifestyle ...,46.52,56.738,"956,353"
ELSE,"Electro-Sensors, ...",2.9,29.15,"1,423"
ELTK,Eltek Ltd.,2.99,69.885,"58,051"
ELU,Entergy Louisiana...,21.93,18.152,"9,346"
ELVT,"Elevate Credit, Inc.",1.47,97.71,"272,700"
ELY,Callaway Golf Com...,7.21,120.19,"1,108,460"
EMAN,eMagin Corporation,0.24,101.799,"542,687"
EMCF,Emclaire Financia...,23.15,55.064,"1,881"
EME,"EMCOR Group, Inc.",50.88,71.447,"423,562"
EMKR,EMCORE Corporation,1.86,85.282,"106,635"
EML,Eastern Company (...,21.08,33.142,"10,401"
EMMS,Emmis Communicati...,1.75,83.084,"25,979"
EMN,Eastman Chemical ...,41.25,78.582,"1,462,575"
EMP,Entergy Mississip...,20.92,23.956,"17,914"
EMR,Emerson Electric ...,46.02,64.633,"4,624,139"
EMX,Eurasian Minerals...,1.3,56.005,"249,240"
ENB,Enbridge Inc,24.84,68.058,"5,160,210"
ENBA,Enbridge Inc 6.37...,15.94,65.578,"61,902"
ENBL,Enable Midstream ...,2.13,151.576,"2,265,400"
ENDP,Endo Health Solut...,3,114.14,"7,264,128"
ENFC,Entegra Financial...,30.16,0.618,"23,622"
ENG,ENGlobal Corporation,0.63,83.846,"47,533"
ENIA,Enersis Americas ...,6.22,55.721,"1,632,164"
ENIC,Enersis Chile S.A.,3.49,43.403,"828,111"
ENJ,Entergy New Orlea...,23.45,9.989,"2,882"
ENLC,"EnLink Midstream,...",1.09,175.619,"5,971,683"
ENLV,Enlivex Therapeut...,3.77,101.517,"164,736"
ENO,Entergy New Orlea...,22.93,17.376,"12,358"
ENOB,Enochian Bioscien...,2.55,63.351,"49,545"
ENPH,"Enphase Energy, Inc.",26.25,99.519,"7,217,980"
ENR,Energizer Holding...,35.01,46.597,"920,615"
ENS,Enersys,41.93,76.62,"294,682"
ENSG,"The Ensign Group,...",35.15,77.578,"371,366"
ENSV,Enservco Corporation,0.1,73.333,"1,930,699"
ENT,Global Eagle Ente...,0.15,143.726,"805,851"
ENTA,Enanta Pharmaceut...,46.86,33.523,"251,721"
ENTG,"Entegris, Inc.",40.71,41.562,"1,074,638"
ENTX,Entera Bio Ltd.,2,65.536,"7,727"
ENV,"Envestnet, Inc",54.75,52.425,"466,604"
ENVA,Enova Internation...,10.25,80.169,"380,124"
ENZ,"Enzo Biochem, Inc.",2.4,80.485,"965,724"
EOG,"EOG Resources, Inc.",33.22,120.857,"5,651,656"
EOLS,"Evolus, Inc.",3.94,119.686,"811,160"
EPAC,Actuant Corporation,18.52,42.573,"362,337"
EPAM,"EPAM Systems, Inc.",165.26,48.588,"367,244"
EPAY,Bottomline Techno...,31.91,59.299,"291,772"
EPC,Edgewell Personal...,31.26,32.531,"1,031,378"
EPD,Enterprise Produc...,14.52,92.171,"10,585,512"
EPIX,ESSA Pharma Inc.,3.5,50.284,"40,332"
EPM,Evolution Petrole...,2.62,88.478,"153,241"
EPR,EPR Properties,18.19,147.073,"1,250,525"
EPRT,Essential Propert...,10.58,114.387,"1,480,224"
EPSN,Epsilon Energy Ltd.,2.49,27.946,"21,373"
EPZM,"Epizyme, Inc.",16.02,55.52,"1,039,656"
EQ,"Equillium, Inc.",3.94,86.553,"31,968"
EQBK,Equity Bancshares...,17,76.433,"53,993"
EQC,Equity Commonwealth,30.7,17.025,"856,866"
EQH,AXA Equitable Hol...,11.26,97.387,"4,354,397"
EQIX,"Equinix, Inc.",550,21.186,"538,022"
EQM,EQT Midstream Par...,10.35,115.269,"1,720,176"
EQNR,Equinor ASA,9.78,85.358,"4,730,605"
EQR,Equity Residential,60.61,41.4,"1,934,528"
EQS,Equus Total Retur...,1.13,72.86,"6,178"
EQT,EQT Corporation,8.08,77.728,"11,203,095"
EQX,Equinox Gold Corp.,5.72,70.099,"654,352"
ERA,"Era Group, Inc.",5.1,105.334,"149,709"
ERF,Enerplus Corporation,1.48,163.986,"2,288,319"
ERI,"Eldorado Resorts,...",7.77,212.629,"3,509,976"
ERIC,Ericsson,7.11,39.932,"9,361,752"
ERIE,Erie Indemnity Co...,161.26,21.684,"109,518"
ERII,"Energy Recovery, ...",7.21,58.591,"220,704"
ERJ,Embraer S.A.,7.68,104.114,"1,228,347"
EROS,Eros Internationa...,1.54,81.163,"3,159,243"
ERYP,Erytech Pharma S.A.,4.27,68.228,"4,280"
ES,Eversource Energy...,77.05,26.429,"2,258,992"
ESBA,Empire State Real...,8.47,62.781,"13,312"
ESBK,Elmira Savings Ba...,13.54,21.501,"5,256"
ESCA,"Escalade, Incorpo...",6.18,51.875,"24,985"
ESE,ESCO Technologies...,71.22,43.886,"160,326"
ESEA,Euroseas Ltd.,1.86,66.556,"49,976"
ESGR,Enstar Group Limited,130.81,56.692,"45,441"
ESGRO,Enstar Group Limi...,20.34,46.86,"25,362"
ESGRP,Enstar Group Limited,18.02,60.286,"33,384"
ESI,Element Solutions...,7.43,69.418,"2,269,710"
ESLT,Elbit Systems Ltd.,121.78,40.241,"20,500"
ESNT,Essent Group Ltd.,27.12,73.301,"890,937"
ESP,Espey Mfg. & Elec...,20.69,22.073,"1,990"
ESPR,Esperion Therapeu...,36.95,89.583,"926,221"
ESQ,Esquire Financial...,16.77,53.999,"19,514"
ESRT,Empire State Real...,8.21,62.095,"1,520,331"
ESS,Essex Property Tr...,209.07,50.414,"530,221"
ESSA,"ESSA Bancorp, Inc.",14,50.225,"14,877"
ESSCU,East Stone Acquis...,9.37,0,"117,884"
ESTA,Establishment Lab...,11.7,92.457,"161,953"
ESTC,Elastic B.V.,48.17,69.793,"1,402,761"
ESTE,Earthstone Energy...,2.23,125.845,"282,151"
ESTR,"Estre Ambiental, ...",0.24,122.763,"706,033"
ESXB,Community Bankers...,4.5,75.566,"65,949"
ET,Energy Transfer LP,5.45,116.353,"29,194,824"
ETH,Ethan Allen Inter...,11.74,42.701,"329,657"
ETM,Entercom Communic...,1.78,117.704,"951,959"
ETN,Eaton Corporation...,72.45,46.252,"3,522,940"
ETNB,"89bio, Inc.",19.63,107.826,"51,531"
ETON,Eton Pharmaceutci...,3.15,91.164,"81,709"
ETR,Entergy Corporation,84.05,52.092,"1,632,632"
ETRN,Equitrans Midstre...,4.71,105.386,"6,032,451"
ETSY,"Etsy, Inc.",34.66,61.441,"3,342,900"
ETTX,Entasis Therapeut...,2.75,104.183,"20,850"
EURN,Euronav NV,8.85,21.988,"2,595,600"
EV,Eaton Vance Corpo...,28.73,76.898,"676,714"
EVA,"Enviva Partners, LP",23.08,62.374,"120,980"
EVBG,"Everbridge, Inc.",103.51,13.605,"598,505"
EVBN,"Evans Bancorp, Inc.",23.42,77.024,"12,981"
EVC,Entravision Commu...,2,17.779,"227,457"
EVER,"EverQuote, Inc.",27.47,62.012,"533,604"
EVF,Eaton Vance Senio...,3.87,58.597,"199,315"
EVFM,Evofem Bioscience...,4.42,68.96,"90,730"
EVGN,Evogene,0.88,80.086,"23,622"
EVH,"Evolent Health, Inc",4.72,122.87,"1,184,491"
EVI,"EnviroStar, Inc. ",16.4,45.305,"54,017"
EVK,Ever-Glory Intern...,1.01,29.113,"1,193"
EVLO,Evelo Biosciences...,4.55,63.143,"104,583"
EVOK,"Evoke Pharma, Inc.",0.9,72.1,"197,021"
EVOL,"Evolving Systems,...",0.7,48.049,"21,517"
EVOP,"EVO Payments, Inc.",15.09,82.689,"404,133"
EVR,Evercore Partners...,39.47,88.328,"702,031"
EVRG,"Evergy, Inc.",55.1,41.323,"2,827,429"
EVRI,Everi Holdings Inc.,2.01,178.23,"1,514,215"
EVSI,Envision Solar In...,6.91,67.451,"101,276"
EVTC,"Evertec, Inc.",22.5,54.337,"427,610"
EW,Edwards Lifescien...,180.37,36.606,"1,719,296"
EWBC,East West Bancorp...,32.39,51.079,"1,797,440"
EXAS,Exact Sciences Co...,50.21,101.426,"2,751,681"
EXC,Exelon Corporation,32.41,54.943,"7,041,199"
EXEL,"Exelixis, Inc.",15.17,43.709,"3,782,393"
EXFO,EXFO Inc,2.16,76.629,"61,150"
EXK,Endeavour Silver ...,1.31,67.747,"2,382,252"
EXLS,ExlService Holdin...,44.02,70.686,"207,947"
EXP,Eagle Materials Inc,52.02,75.014,"378,162"
EXPC,Experience Invest...,9.36,7.518,"178,937"
EXPCU,Experience Invest...,9.7,7.151,"82,435"
EXPD,Expeditors Intern...,58.01,30.012,"1,822,227"
EXPE,"Expedia, Inc.",48.43,100.386,"3,469,459"
EXPI,eXp World Holding...,7.4,47.219,"188,225"
EXPO,"Exponent, Inc.",63.1,32.754,"257,470"
EXPR,"Express, Inc.",1.83,120.94,"1,754,406"
EXR,Extra Space Stora...,86.7,33.145,"1,112,499"
EXTN,Exterran Corporation,5.02,63.044,"384,036"
EXTR,"Extreme Networks,...",2.33,118.021,"1,766,570"
EYE,National Vision H...,17.47,82.771,"750,242"
EYEG,Eyegate Pharmaceu...,3.83,76.5,"63,907"
EYEN,"Eyenovia, Inc.",1.93,107.644,"51,037"
EYES,Second Sight Medi...,2.88,84.807,"54,876"
EYPT,EyePoint Pharmace...,1,61.244,"873,372"
EZPW,"EZCORP, Inc. - Cl...",3.59,38.483,"717,170"
EZT,Entergy Texas Inc...,23.11,19.633,"9,312"
F,Ford Motor Company,4.47,63.951,"78,720,223"
FAF,First American Co...,37.43,66.655,"1,059,744"
FAMI,"FARMMI, INC.",0.44,65.103,"567,365"
FANG,Diamondback Energ...,18.69,179.615,"3,660,024"
FANH,Fanhua Inc.,18.8,32.511,"295,061"
FARM,Farmer Brothers C...,6.94,86.8,"77,902"
FARO,FARO Technologies...,38.91,55.477,"116,639"
FAST,Fastenal Company,32.3,22.983,"5,551,561"
FAT,FAT Brands Inc.,2.22,77.473,"6,752"
FATE,Fate Therapeutics...,24.46,64.04,"1,097,729"
