"DOW_down_UE_down","Freq","StatValue"
"TEVA_dailyChange","Mean   :  3.083  ",3.083
"HRB_dailyChange","Mean   :  0.1426  ",0.1426
"WMT_dailyChange","Mean   :  1.438  ",1.438
"AAP_dailyChange","Mean   :   1.378  ",1.378
