"","TGT.Close","HD.Close","JPM.Close","XOM.Close","CVX.Close","MGM.Close","TEVA.Close","HST.Close","FCAU.Close","WFC.Close","WWE.Close","QSR.Close","SCE.PB.Close","WM.Close","S.Close","GM.Close","F.Close","JWN.Close","NUS.Close","AMC.Close","KSS.Close","LUV.Close","HMC.Close","PCG.Close","NKE.Close","WMT.Close","TJX.Close","TM.Close","T.Close","JNJ.Close","C.Close","EPD.Close","VZ.Close","HRB.Close","AAP.Close","SIG.Close","M.Close","YELP.Close"
"256",72.470001,122.849998,58.57,82.389999,88.82,18.76,57.419998,15.32,6.53,49.189999,16.35,32.720001,23.445999,56.18,3.02,29.629999,12.56,51.369999,28.709999,22.280001,44.950001,40.82,26.110001,56.48,60.169998,65.629997,36.514999,106.690002,36.860001,104.75,39.52,23.41,51.07,34.029999,147.869995,103.040001,41.060001,19.07
"257",73.989998,124.529999,56.119999,81.230003,84.910004,18.219999,57.470001,14.96,6.31,48.099998,16.43,32.810001,23.799999,56.299999,2.95,29.379999,12.42,50.860001,28.98,22.040001,44.939999,41.080002,25.610001,57.220001,60.209999,66.480003,36.345001,105.620003,36.740002,104.080002,38.220001,22.59,50.630001,33.650002,147.550003,100.169998,42.310001,18.91
"258",78.669998,126.860001,57.009998,82.010002,85.300003,18.34,57.580002,15.51,6.4,47.75,16.629999,33.669998,23.74,56.169998,3.07,29.5,12.39,52.43,30.190001,22.469999,46.669998,42.59,25.639999,58.34,62.380001,68.040001,37.540001,105.57,37.369999,106.379997,38.619999,22.959999,51.110001,33.709999,150.080002,97.169998,43.369999,19
"259",78.43,126.260002,57.540001,81.75,84.349998,18.870001,56.98,15.39,6.7,48.07,16.82,34.349998,23.780001,56.040001,3.33,29.629999,12.47,52.509998,30.860001,23.299999,46.82,42.169998,26.08,56.43,62.599998,66.510002,37.82,105.139999,37.130001,105.779999,39.5,23.030001,51.02,33.73,150.050003,99.129997,43.43,19.860001
"260",80.959999,125.699997,59.200001,81.279999,86.129997,19.93,56.099998,15.85,7.34,48.720001,16.85,36.029999,23.91,57.049999,3.47,30.01,13.09,52.290001,31.280001,24.879999,46.509998,42.5,26.709999,56.209999,62.919998,66.459999,37.735001,106.410004,37.389999,107.220001,41.27,23.049999,51.459999,32.810001,153.350006,112.459999,43.700001,20.76
"261",81.099998,125.589996,59.759998,82.699997,87.139999,20.27,56.290001,15.95,7.47,49.57,17.309999,36.290001,23.950001,57.080002,3.75,30.15,13.22,52.75,30.629999,25.35,46.639999,41.939999,27.110001,56.23,62.220001,66.209999,37.720001,106.989998,37.689999,107.040001,42.220001,23.73,52.119999,32.59,152.169998,112.959999,43.959999,21.200001
"262",79.709999,126.800003,59.959999,82.400002,87.529999,20.33,55.599998,16.110001,7.68,49.77,17.690001,36.849998,23.8001,57.27,4,31.07,13.54,53.060001,32.310001,25.700001,46.740002,42.029999,27.77,56.290001,61.470001,66.139999,37.610001,108.57,37.990002,106.650002,42.830002,24.110001,51.889999,32.900002,153.880005,112,44.09,21.75
"263",81.129997,125.559998,60.049999,82.290001,87.93,19.809999,55.619999,16.49,7.74,50.110001,17.59,37.27,23.127199,57.150002,3.82,31.370001,13.59,54.509998,32.830002,27.02,47.48,41.5,28.030001,56.5,61.259998,66.779999,37.700001,109.550003,37.93,106.5,42.830002,24.08,51.810001,27.76,152.369995,111.860001,44.580002,21.620001
"264",80.82,126.169998,59.939999,84.459999,90.669998,19.82,56.810001,16.84,7.67,50.07,18.030001,37.849998,24,56.950001,3.97,31.59,13.62,54.689999,34.41,28.68,48.59,41.48,27.870001,56.470001,59.25,67.889999,37.685001,107.910004,38.130001,106.739998,42.610001,25.1,52.209999,28.110001,151.520004,112.160004,44.619999,22.15
"265",80.529999,126.720001,58.779999,82.629997,88.739998,19.33,56.209999,16.27,7.31,49.049999,18,37.209999,24.48,57.32,3.98,30.68,13.23,55.110001,33.48,28.389999,48.700001,41.59,27.549999,56.939999,59.810001,68.040001,37.695,105.82,38.09,106.220001,41.049999,23.370001,52.459999,27.879999,149.679993,109.010002,44.040001,21.1
"266",81.209999,126.029999,59.119999,82.400002,92.82,20.049999,57.900002,16.17,7.4,48.790001,17.85,37.91,24.479799,57.66,3.96,30.540001,13.19,55.84,33.740002,28.440001,49.07,42.32,27.65,57.279999,58.330002,67.529999,37.474998,106.25,37.98,106.839996,41.150002,23.4,52.34,27.41,153.770004,108.089996,44.310001,20.469999
