"Stock","stock5yrMeans","Year","YearMeanValue","Direction5yr10PercentChange","nTimesDecr10_5yr","nTimesIncr10_5yr","nTimesDecrFromZero_5yrs","nTimesIncrFromZero_5yrs"
"GOOG.Close",1000.92420225954,2015,602.00568109127,"",NA,4,NA,1
"GOOG.Close",1000.92420225954,2016,743.486706698413,"up10",NA,4,NA,1
"GOOG.Close",1000.92420225954,2017,921.780837310757,"up10",NA,4,NA,1
"GOOG.Close",1000.92420225954,2018,1113.22513411554,"up10",NA,4,NA,1
"GOOG.Close",1000.92420225954,2019,1188.39305748413,"up",NA,4,NA,1
"GOOG.Close",1000.92420225954,2020,1436.65379685714,"up10",NA,4,NA,1
"HD.Close",170.802718858724,2015,116.382460198413,"",NA,3,NA,2
"HD.Close",170.802718858724,2016,129.820317527778,"up10",NA,3,NA,2
"HD.Close",170.802718858724,2017,155.342749155378,"up10",NA,3,NA,2
"HD.Close",170.802718858724,2018,188.76808823506,"up10",NA,3,NA,2
"HD.Close",170.802718858724,2019,207.30269822619,"up",NA,3,NA,2
"HD.Close",170.802718858724,2020,227.199999809524,"up",NA,3,NA,2
"HMC.Close",29.4053807895323,2015,32.6697619920635,"",2,NA,NA,3
"HMC.Close",29.4053807895323,2016,28.0876983690476,"down10",2,NA,NA,3
"HMC.Close",29.4053807895323,2017,29.9091633944223,"up",2,NA,NA,3
"HMC.Close",29.4053807895323,2018,31.3766533784861,"up",2,NA,NA,3
"HMC.Close",29.4053807895323,2019,26.9271031269841,"down10",2,NA,NA,3
"HMC.Close",29.4053807895323,2020,27.4619044761905,"up",2,NA,NA,3
"HOFT.Close",29.9153385082237,2015,23.4655952301587,"",1,2,2,NA
"HOFT.Close",29.9153385082237,2016,26.8423015714286,"up10",1,2,2,NA
"HOFT.Close",29.9153385082237,2017,41.0180478286853,"up10",1,2,2,NA
"HOFT.Close",29.9153385082237,2018,38.3838246055777,"down",1,2,2,NA
"HOFT.Close",29.9153385082237,2019,24.9165476230159,"down10",1,2,2,NA
"HOFT.Close",29.9153385082237,2020,24.8657141904762,"down",1,2,2,NA
