"Date","TGT_dailyChange","FTR_dailyChange","UBSI_dailyChange","HD_dailyChange","JPM_dailyChange","XOM_dailyChange","CVX_dailyChange","NSANY_dailyChange","MGM_dailyChange","TEVA_dailyChange","HST_dailyChange","WFC_dailyChange","WWE_dailyChange","INO_dailyChange","SCE.PB_dailyChange","FFIN_dailyChange","GOOG_dailyChange","WM_dailyChange","ONCY_dailyChange","S_dailyChange","F_dailyChange","ARWR_dailyChange","COST_dailyChange","AAL_dailyChange","JWN_dailyChange","NUS_dailyChange","HMC_dailyChange","AMZN_dailyChange","T_dailyChange","HRB_dailyChange","RRGB_dailyChange","ADDYY_dailyChange","PCG_dailyChange","ROST_dailyChange","JNJ_dailyChange","NFLX_dailyChange","M_dailyChange","KSS_dailyChange","DLTR_dailyChange","WMT_dailyChange","C_dailyChange","AAP_dailyChange","JBLU_dailyChange","MSFT_dailyChange","KGJI_dailyChange","EPD_dailyChange","TJX_dailyChange","HOFT_dailyChange","LUV_dailyChange","NKE_dailyChange","TM_dailyChange","VZ_dailyChange","SIG_dailyChange","DayOfWeek","Month","Year","UE_monthlyRate","dayOfMonth","DOW_Daily_Close","DOW_Daily_Volume","DOW_Daily_Change","lastMonth_UE_rate","increasingMonthly_UE_rate"
2007-01-03,-15.459999,212.349994,0.659999999999997,-144.069999,-56.290001,-4.91999800000001,-48.610001,6.869999,30.82,14.43,4.433073,-14.149997,-67.519997,9.5,135,-25.428333,-886.998093,-64.220001,19.905,12.690001,-1.26,24.48,-165.900005,20.669998,4.11000000000001,-41.57,11.439999,-1601.129955,3.83,-0.949998999999998,4.59,-96.400002,30.239999,-87.207502,-70.239997,-354.298577,12.719997,-0.44999700000001,-86.100002,-51.439999,488.52,-126.199997,-1.500001,-82.169998,0.26,-13.165,-44.122501,-15.93,-40.520001,-73.521253,14.260002,-21.613266,19.630001,"Wednesday","Jan",2007,4.6,3,12474.519531,327200000,12474.519531,4.6,0
2007-01-04,0.410000000000004,-3.14999399999999,0.0900000000000034,-0.5,0.119999,-1.39,-0.690001999999993,0.399999000000001,-0.470002000000001,0.379998999999998,-0.0587370000000007,0.0599970000000027,0.110001,0.0399999999999991,0,0.108334,7.80574099999998,-0.459998999999996,0.380001,0.609998999999998,0.19,0.200001,1.23,2.540001,0.869999,-0.0300009999999986,0.330001999999993,0.200001,-0.450001,0.0799999999999983,-0.209999000000003,0,-0.650001000000003,0.180000000000001,0.830000999999996,-0.180001,-0.199997000000003,0.599998000000014,-0.0133340000000004,0.229999999999997,-1.90002400000003,0.229998999999999,0.180000000000001,-0.0500019999999992,0,-0.0849999999999991,0.262499999999999,-0.300000000000001,0.24,0.125,2.470001,0.196045000000005,-0.0400009999999966,"Thursday","Jan",2007,4.6,4,12480.69043,259060000,6.17089900000065,4.6,0
2007-01-05,-0.32,-0.600006000000008,-1.319999,-0.779999000000004,-0.399998000000004,0.519997000000004,0.270004,-0.299999,-0.199995999999999,0.570000000000004,-0.518844999999999,-0.200001,-0.200001,0,0,-0.268333,1.95765700000001,-0.590000000000003,-0.0950009999999999,-0.440000999999999,-0.0800000000000001,-0.200001,-0.660000000000004,-0.549999000000007,-0.979999000000007,-0.490000000000002,-1.370003,-0.530003000000001,-0.540000999999997,-0.329999999999998,-1,-0.5,-1.129997,0.0499999999999998,-0.609999999999999,-0.0771419999999998,-0.420001999999997,-0.879997000000003,0.460000000000001,-0.389999999999993,-2.89996399999995,-0.790000999999997,-0.390000000000001,-0.170000000000002,0.5,-0.145,-0.16,-0.24,-0.26,0.0199999999999996,-4.050003,-0.606808000000001,0.279998999999997,"Friday","Jan",2007,4.6,5,12398.009766,235220000,-82.6806640000013,4.6,0
2007-01-08,0.0799979999999962,0.600006000000008,0.139999000000003,-0.299999,0.160000000000004,-0.589995999999999,0.899993999999992,0.139999999999997,2.899997,0.670001999999997,-0.0783149999999999,-0.0999979999999994,0.100000999999999,0,0,0.00333299999999959,-1.798249,0.0900000000000034,1.140001,0.43,0.11,-0.799999,0.220001000000003,-0.360000999999997,0.270000000000003,0.119999,0.220001000000003,-0.869999,-0.149998000000004,0.319998999999999,-0.0899999999999963,-0.299999,0.439998000000003,0.0449999999999999,-0.110000999999997,-0.14,0.709998999999996,-0.550003000000004,-0.00666600000000095,-0.389999000000003,2.79998799999998,0.119999,0.15,0.290001,-0.18,0.17,-0.0474999999999994,0.00999999999999979,0.279999999999999,-0.0374999999999996,0.25,-0.532119000000002,0.220001000000003,"Monday","Jan",2007,4.6,8,12423.490234,223500000,25.4804680000016,4.6,0
2007-01-09,0.910000000000004,-1.199997,-0.340000000000003,-0.170001999999997,-0.200001,-0.560006000000001,-0.819999999999993,-0.0700000000000003,1.240002,-0.0600009999999997,0.283894999999998,0.0900000000000034,-0.110001,0.32,0,-0.0199999999999996,0.956405999999987,-0.380001,1.139999,-2.189998,0.0599999999999996,-2.200001,0.399997999999997,-0.0299979999999991,0.560001999999997,0.190000999999999,0.0200009999999935,0.279998999999997,0.129998000000001,0.210000000000001,0.270000000000003,0,0.220002000000001,0.0975000000000001,-0.25,0.0228570000000001,1.25,0.400002000000001,-0.0166660000000007,0.389999000000003,-4.79998799999998,0.299999999999997,0.0700000000000003,0.0299990000000001,0,-0.135000000000002,0.0949999999999998,-0.0299999999999994,0.0300000000000011,0.15375,-1.80999700000001,0.140030000000003,0.0799979999999962,"Tuesday","Jan",2007,4.6,9,12416.599609,225190000,-6.890625,4.6,0
2007-01-10,0.0500029999999967,-0.449996999999996,-0.279998999999997,0.459998999999996,0.349997999999999,-1.099998,-1.219993,-0.329999999999998,2.57,0.0699990000000028,0.0489480000000029,-0.110000000000007,-0.0899999999999981,-0.0399999999999991,0,-0.0200000000000005,1.97261,0.990000999999999,0.949998999999998,0.399999000000001,-0.0599999999999996,-1.02,0.380001,1.029998,0.25,-0.25,-0.970000999999996,-0.629996999999996,0.0899999999999963,0.489999000000001,0.389999999999993,-0.150002000000001,0.619998000000002,0.0349999999999993,-0.109999999999999,0.011428,-0.0299979999999991,0.970000999999996,0.0166660000000007,-0.110000000000007,-4.40002400000003,0.0500029999999967,0.659999999999998,-0.299999,0,-0.0199999999999996,0.0549999999999997,-0.0199999999999996,0.239998999999999,0,-2.73001099999999,-0.196042000000006,-0.839999999999996,"Wednesday","Jan",2007,4.6,10,12442.160156,226570000,25.5605469999991,4.6,0
2007-01-11,1.5,1.64999399999999,0.0499989999999997,0.300003000000004,0.210003,-0.00999500000000353,-0.720001999999994,0.0300009999999986,4.94000200000001,-0.259998000000003,0.61674,0.0600009999999997,0.370001,0.119999999999999,120,0.116667000000001,5.11084,0.360000999999997,0.0950009999999999,-0.409999000000003,0.0399999999999991,0.380001,0.910000000000004,2.270001,1.169998,0.150000000000002,0.0600009999999997,0.25,0.460003,0.460000999999998,0.5,0.100000999999999,0.130001999999998,0.00500000000000078,0.580000999999996,0.024286,0.510002,0.459998999999996,0.0266669999999998,0.319999000000003,0.40002400000003,0.910000000000004,0.220000000000001,1.040001,-0.0599999999999998,-0.0399999999999991,0.112500000000001,0.309999999999999,0.100000999999999,0.0274999999999999,-0.649993999999992,0.336075000000001,0.0600009999999997,"Thursday","Jan",2007,4.6,11,12514.980469,261720000,72.8203130000002,4.6,0
2007-01-12,0.5,0.75,-0.110000000000007,0.0299989999999966,-0.319999000000003,1.680001,1.65999599999999,0.0699990000000028,-0.800003000000004,0.0999989999999968,0.0685269999999996,-0.0300029999999936,0.0899999999999999,-0.0399999999999991,68,-0.0416670000000003,2.63014200000001,-0.139998999999996,-0.285,-0.190000999999999,0.12,-0.0900009999999938,0.630001,-0.390000000000001,1.280002,0.00999999999999801,0.5,0.799999,0.239998,0.199999000000002,-0.0800020000000004,0.25,-0.720002000000001,0.2875,-0.0900039999999933,-0.218571,-0.0900000000000034,0.169998000000007,0.00333299999999959,0.380001999999998,2.09997599999997,-0.200001,0.48,0.509998,-0.0600000000000001,0.0250000000000004,0,0.210000000000001,0.0699990000000028,-0.0274999999999999,2.10999999999999,0.205380000000005,0.540000999999997,"Friday","Jan",2007,4.6,12,12556.080078,256530000,41.0996090000008,4.6,0
2007-01-16,0.529999000000004,2.10000600000001,-0.509998999999993,0.18,0.399997000000006,-1.030007,-0.679999999999993,-0.140001000000002,1.379997,0.170002000000004,0.117473,0.720001999999994,-0.120001000000002,-0.16,0,-0.0133330000000003,-0.358656999999994,0.0299979999999991,0.189999,-0.100000000000001,0.0500000000000007,0.630001999999998,0.290000999999997,1.149998,0.149998000000004,-0.0899999999999999,0.240001999999997,0.459998999999996,-0.0999989999999968,0.0500009999999982,0,0.100000000000001,-0.0100020000000001,0.0199999999999996,-0.0999979999999994,0.00428500000000032,-0.110000999999997,-0.309997999999993,-0.0333329999999989,0.330001000000003,3.90002400000003,0,0.0500009999999982,-0.0499989999999997,0,0.149999999999999,-0.0225,-0.0800000000000001,0.350000999999999,0.0262499999999992,0.320008000000001,-0.158703000000003,-0.520000999999993,"Tuesday","Jan",2007,4.6,16,12582.589844,242720000,26.5097659999992,4.6,0
2007-01-17,-0.479999000000007,-1.800003,-0.420002000000004,0,0.0400009999999966,0.830001999999993,1.15000199999999,-0.0299990000000001,-0.939994999999996,-0.0200010000000006,0.137054999999997,0.0400000000000063,0.0100000000000016,-0.360000000000001,0,-0.0916670000000002,-3.48692400000002,0.0299990000000037,0.285001999999999,-0.149999999999999,0.0999999999999988,1.199996,0.439998000000003,-3.309997,-0.360001000000004,-0.199998999999998,-0.330002,-0.779998999999997,-0.139999000000003,0.0200010000000006,-0.5,-0.100000000000001,0.0900000000000034,-0.067499999999999,0.330001999999993,0.012858,-0.220001000000003,0.0400009999999895,-0.123334,-0.109999999999999,-3.79998799999998,0.149996999999999,-0.910000999999998,-0.0599999999999987,0,0.195,-0.0550000000000006,-0.0199999999999996,-0.67,-0.0187500000000007,-0.110000999999983,-0.261391000000003,0.279998999999997,"Wednesday","Jan",2007,4.6,17,12577.150391,272720000,-5.43945300000087,4.6,0
