"Year","Annual_UE","stock","stockInfo","stockExchange","stock5yrMeans","YearMeanValue","Direction5yr10PercentChange","nTimesDecr10_5yr","nTimesIncr10_5yr","nTimesDecrFromZero_5yrs","nTimesIncrFromZero_5yrs","YearMeanGreaterThan5yrMean"
2015,5.28,"FTR","Frontier Communications Corporation (FTR)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",31.3429243098953,87.1767856904762,"0",5,0,0,0,1
2015,5.28,"JNJ","Johnson & Johnson (JNJ)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",126.401366391582,99.7594045674603,"0",0,2,0,3,0
2015,5.28,"JWN","Nordstrom, Inc. (JWN)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",49.6409798692294,72.6979763214286,"0",2,1,1,1,1
2015,5.28,"TEVA","Teva Pharmaceutical Industries Limited (TEVA)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",30.0819310392135,61.657817531746,"0",5,0,0,0,1
2015,5.28,"SIG","Signet Jewelers Limited (SIG)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",64.5447094476723,130.46436493254,"0",4,1,0,0,1
2015,5.28,"VZ","Verizon Communications Inc. (VZ)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",52.7978111684321,47.1702380714286,"0",0,1,1,3,0
2015,5.28,"WM","Waste Management, Inc. (WM)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",83.9403728867572,51.5974602738095,"0",0,4,0,1,0
2015,5.28,"LUV","Southwest Airlines Co. (LUV)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",50.5661435154014,40.9728174880952,"0",0,1,2,2,0
2015,5.28,"XOM","Exxon Mobil Corporation (XOM)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",78.7369955725405,82.8284525039683,"0",0,0,4,1,1
2015,5.28,"KSS","Kohl's Corporation (KSS)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",53.0735338323716,59.8627382142857,"0",3,1,1,0,1
2015,5.28,"ROST","Ross Stores, Inc. (ROST)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",79.8764150829565,50.4961111746032,"0",0,4,0,1,0
2015,5.28,"UBSI","United Bankshares, Inc. (UBSI)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",37.6227410947822,38.4132936706349,"0",0,0,3,2,1
2015,5.28,"HST","Host Hotels & Resorts, Inc. (HST)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",18.2532595738633,19.4215476111111,"0",2,1,1,1,1
2015,5.28,"TM","Toyota Motor Corporation (TM)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",125.531297267515,130.025079650794,"0",1,1,0,3,1
2015,5.28,"INO","Inovio Pharmaceuticals, Inc. (INO)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",5.63565154725015,7.70920634920635,"0",3,1,0,1,1
2015,5.28,"T","AT&T Inc. (T)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",36.2243727055034,33.8040475793651,"0",1,2,1,1,0
2015,5.28,"FFIN","First Financial Bankshares, Inc. (FFIN)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",24.4529351617314,15.3533531547619,"0",0,4,0,1,0
2015,5.28,"WWE","World Wrestling Entertainment, Inc. (WWE)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",42.5369822838593,16.3656349047619,"0",1,4,0,0,0
